DrugName,Condition,ConditionCount,SideEffect,SideEffectCount,SuggestedQuestion
acesulfame potassium (bulk) 100 % powder,Yeast Infection of Vagina and Vulva,1083.0,or a  metallic taste  in the  mouth  may occur.,5700.0,Is 60pse-400gfn easy to use?
acetadote vial,Additional Medications to Treat Depression,1076.0,or  weight  gain may occur.,5626.0,Which drugs are most commonly used for Other?
acetaminophen,Simple Partial Seizures,1073.0,irritability,5557.0,What is the most effective medication for Other?
acetaminophen (bulk) 100 % powder,Crohn's Disease,1038.0,or  dry mouth  may occur.,5518.0,What are patient experiences with medications for Other?
acetaminophen extra strength,Acute Bacterial Infection of the Sinuses,1032.0,tingling of the hands/feet,5449.0,What side effects are common when treating Other?
acetaminophen pm,Convulsive Seizures,1015.0,and  weight loss  may occur.,5409.0,Which drugs are most commonly used for Pain?
acetaminophen pm xtra strength,Anxiousness associated with Depression,1011.0,or  diarrhea  may occur.,5206.0,What is the most effective medication for Pain?
acetaminophen solution,Vaginosis caused by Bacteria,958.0,increased appetite,5064.0,What are patient experiences with medications for Pain?
"acetaminophen suppository, rectal",Recurring Sleep Episodes During the Day,919.0,or increased  sweating  may occur.,4942.0,What side effects are common when treating Pain?
acetaminophen tablet,High Amount of Triglyceride in the Blood,901.0,bad taste in your  mouth,4812.0,Which drugs are most commonly used for High Blood Pressure?
acetaminophen-caffeine tablet,Severe Pain,897.0,fever,4755.0,What is the most effective medication for High Blood Pressure?
acetaminophen-codeine,Irritable Colon,871.0,or  sweating  may occur.,4505.0,What are patient experiences with medications for High Blood Pressure?
acetaminophen-diphenhydramine,Gout,870.0,or tiredness may occur.,4485.0,What side effects are common when treating High Blood Pressure?
acetaminophen-pamabrom-pyrilam tablet,Difficulty Falling Asleep,844.0,and increased  sweating  may occur.,4460.0,Which drugs are most commonly used for Depression?
acetasol hc drops,Narcotic Addiction,837.0,sore throat,4451.0,What is the most effective medication for Depression?
acetazolamide,Bacterial Infection with Chronic Bronchitis,813.0,and  trouble sleeping  may occur.,4423.0,What are patient experiences with medications for Depression?
